Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
58985933,10/01/2023 12:55:31 PM,10/01/2023 08:02:27 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10464,ORCHARD BEACH,ORCHARD BEACH,ORCHARD BEACH BDWK CONNECTOR,KAZIMIROFF NATURE TRAIL,ORCHARD BEACH BDWK CONNECTOR,KAZIMIROFF NATURE TRAIL,UNRECOGNIZED,BRONX,ORCHARD BEACH,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 08:02:32 PM,28 BRONX,2056500001,BRONX,1041473,254988,ONLINE,Unspecified,BRONX,,,,,,,,40.8663722776237,-73.79311149893172,"(40.8663722776237, -73.79311149893172)",11273,44,5,12,28
58978515,10/01/2023 12:55:10 PM,10/01/2023 12:58:34 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11433,164-02 SOUTH ROAD,SOUTH ROAD,164 STREET,165 STREET,164 STREET,165 STREET,ADDRESS,JAMAICA,SOUTH ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 12:58:40 PM,12 QUEENS,4101630001,QUEENS,1041714,194482,ONLINE,Unspecified,QUEENS,,,,,,,,40.700298355274874,-73.79275772082066,"(40.700298355274874, -73.79275772082066)",24668,41,3,6,61
58980921,10/01/2023 12:51:06 PM,10/01/2023 12:53:02 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206,61 GRAHAM AVENUE,GRAHAM AVENUE,VARET STREET,MOORE STREET,VARET STREET,MOORE STREET,ADDRESS,BROOKLYN,GRAHAM AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 12:53:06 PM,01 BROOKLYN,3031050020,BROOKLYN,1000166,195620,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.703594162246695,-73.94259661096929,"(40.703594162246695, -73.94259661096929)",17213,36,2,30,56
58984658,10/01/2023 12:41:05 PM,10/01/2023 01:02:51 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 01:02:55 PM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58979697,10/01/2023 12:35:20 PM,10/01/2023 01:02:50 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 01:02:55 PM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58980952,10/01/2023 12:31:21 PM,10/01/2023 01:03:10 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-15 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 01:03:15 PM,02 QUEENS,4000550017,QUEENS,998124,210927,MOBILE,Unspecified,QUEENS,,,,,,,,40.74561159343387,-73.94992982579883,"(40.74561159343387, -73.94992982579883)",16858,53,3,33,66
58979665,10/01/2023 12:29:55 PM,10/01/2023 01:02:45 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,11-25 46 ROAD,46 ROAD,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 01:02:50 PM,02 QUEENS,4000550013,QUEENS,998168,210916,MOBILE,Unspecified,QUEENS,,,,,,,,40.74558133205491,-73.94977105605933,"(40.74558133205491, -73.94977105605933)",16858,53,3,33,66
58984702,10/01/2023 12:29:24 PM,10/01/2023 01:26:00 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11222,451A GRAHAM AVENUE,GRAHAM AVENUE,HERBERT STREET,MEEKER AVENUE,HERBERT STREET,MEEKER AVENUE,ADDRESS,BROOKLYN,GRAHAM AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,10/01/2023 01:26:03 PM,01 BROOKLYN,3027250121,BROOKLYN,999453,201204,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71892216567153,-73.94515554007494,"(40.71892216567153, -73.94515554007494)",18182,36,2,30,57
58984756,10/01/2023 12:28:41 PM,10/01/2023 12:30:42 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11355,41-01 147 STREET,147 STREET,41 AVENUE,BARCLAY AVENUE,41 AVENUE,BARCLAY AVENUE,ADDRESS,FLUSHING,147 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2023 12:30:45 PM,07 QUEENS,4050520036,QUEENS,1034666,216709,ONLINE,Unspecified,QUEENS,,,,,,,,40.76134885277409,-73.81800951292664,"(40.76134885277409, -73.81800951292664)",14190,22,3,3,67
58982156,10/01/2023 12:26:28 PM,10/01/2023 01:14:01 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,221 EAST  115 STREET,EAST  115 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST  115 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,10/01/2023 01:14:06 PM,11 MANHATTAN,1016650110,MANHATTAN,1000937,229626,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79693059561621,-73.93973150341414,"(40.79693059561621, -73.93973150341414)",12426,7,4,35,16
